id;name;latitude;longitude;address;ward;district;province;primaryType;types;rating;userRatingCount;timezone;openingHours;priceLevel;priceRange
ChIJf5m-4D0vdTERV-3IDmlXcrE;Yen's Hotel;10,7683053;106,6941234;32 Đường Phạm Ngũ Lão;;Quận 1;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest'];3,8;136;Asia/Ho_Chi_Minh;;3;400k-800k
ChIJA-UMMTwvdTERc3KabZh6BMY;Nhu Phuc Hotel;10,763964;106,687893;269/11/8 Đường Nguyễn Trãi;;Cầu Ông Lãnh;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest'];4;7;Asia/Ho_Chi_Minh;;3;400k-800k
ChIJ964TI0QvdTERZk66I7cQohI;Liberty Central Saigon Riverside Hotel;10,774102;106,706214;7 Ngô Đức Kế;;Quận 1;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest'];4,3;3495;Asia/Ho_Chi_Minh;;3;400k-800k
ChIJjcFsvLQodTER1NOL5Iaxeok;Somerset Ho Chi Minh City;10,7897281;106,703184;08 Đường Nguyễn Bỉnh Khiêm;;Quận 1;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest'];4,4;1332;Asia/Ho_Chi_Minh;;3;400k-800k
ChIJF9cbwBsvdTERxQn29H80jjU;Hotel Nikko Saigon;10,764387;106,682954;Hotel Nikko Saigon;;Cầu Ông Lãnh;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest'];4,6;8942;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];3;400k-800k
ChIJhZAdDkAvdTERfvVb-VhHhzE;HOTEL H;10,7685254;106,7006007;14 Phó Đức Chính;Phường Nguyễn Thái Bình;Quận 1;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest'];4;144;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];3;400k-800k
ChIJeTEjlj0vdTERWj-VGD_VeFc;Khách Sạn Lucy;10,7694761;106,6918785;134 Đường Lê Lai;Phường Phạm Ngũ Lão;Quận 1;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest'];2,3;3;Asia/Ho_Chi_Minh;;3;400k-800k
ChIJy4iHLiIvdTERaYF6avZ3-_Y;LeBlanc Saigon;10,7732969;106,6848773;410 Nguyễn Đình Chiểu;Phường 4;Quận 3;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest', 'travel_agency'];4;193;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];3;400k-800k
ChIJ65FlABYvdTERbt7ftIwNQ5Q;New Sunny Hotel;10,7681578;106,6936759;254 Đường Đề Thám;;Phạm Ngũ Lão;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest'];3,6;325;Asia/Ho_Chi_Minh;;3;400k-800k
ChIJKZbhIdgudTERBgySMlBjlds;Minh Chau hotel;10,778555;106,6728842;119 Hoà Hưng;Phường 12;Quận 10;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest'];3,9;461;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '01:00', 'close': '12:02'}];3;400k-800k
ChIJpYEZCRYvdTERDinGc_l0jtA;Violet Star Hotel and Spa;10,7668958;106,6937611;35/10 Đường Bùi Viện;Phường Phạm Ngũ Lão;Quận 1;Hồ Chí Minh;lodging;['establishment', 'lodging', 'point_of_interest'];4,4;225;Asia/Ho_Chi_Minh;[{'days': 'Every day', 'open': 'Open 24 hours'}];3;400k-800k
ChIJ298jljovdTERWZQp1RZZogs;La Maison de L' Apothiquaire Spa Saigon District 3;10,7821523;106,6843952;64D Đường Trương Định;Phường Võ Thị Sáu;Quận 3;Hồ Chí Minh;gym;['clothing_store', 'establishment', 'gym', 'health', 'point_of_interest', 'spa', 'store'];4,8;301;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '09:00', 'close': '21:00'}];3;400k-800k
ChIJ4c1L4EYvdTERViPqwUX0PnE;Glow Spa;10,774236;106,7024123;42/14b Đường Tôn Thất Thiệp;;Bến Nghé;Hồ Chí Minh;spa;['beauty_salon', 'establishment', 'point_of_interest', 'spa'];4,5;158;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '10:00', 'close': '19:00'}];3;400k-800k
ChIJGS_TREkvdTER7U9gVTIozcY;Sen Spa;10,781783;106,705475;8C Lê Thánh Tôn;;Quận 1;Hồ Chí Minh;spa;['establishment', 'point_of_interest', 'spa'];4,4;177;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '09:30', 'close': '21:00'}];3;400k-800k
ChIJVbV0pKUudTERaPd27g8xmIk;Chăm Sóc Da Chuyên Nghiệp Tre Xanh Spa;10,8017156;106,6758797;21-23 Hồ Văn Huê;Phường 9;Phú Nhuận;Hồ Chí Minh;spa;['establishment', 'health', 'point_of_interest', 'spa', 'store'];4,5;2;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '09:00', 'close': '21:00'}];3;400k-800k
ChIJzTNwH0QvdTERDF8M8nvtZ6o;Le Grand Spa & Fitness;10,774153;106,7052751;24(Cong ty du lich Sai Gon) Đường Đồng Khởi;;Quận 1;Hồ Chí Minh;gym;['beauty_salon', 'establishment', 'gym', 'hair_care', 'health', 'point_of_interest', 'spa'];4,8;13;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '09:00', 'close': '23:00'}];3;400k-800k
ChIJc8gPv0gvdTER6UJqUYexPt0;Golden Lotus Spa & Massage Club;10,7791537;106,7044835;15 Đường Thái Văn Lung;;Quận 1;Hồ Chí Minh;spa;['establishment', 'point_of_interest', 'spa'];4,5;2698;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '09:00', 'close': '23:00'}];3;400k-800k
ChIJbV50ETkvdTERShjni2ERaJ8;Dáng Ngọc Spa Quận 1;10,7748911;106,6952471;1a Huyền Trân Công Chúa;;Quận 1;Hồ Chí Minh;spa;['establishment', 'point_of_interest', 'spa'];4,1;68;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '06:00', 'close': '21:00'}];3;400k-800k
ChIJqwLn8TMvdTERfBhxoQuJL0g;Sả Spa Garden;10,7853992;106,6938087;40D Phạm Ngọc Thạch;Phường 6;Quận 3;Hồ Chí Minh;spa;['beauty_salon', 'establishment', 'point_of_interest', 'spa'];4,9;1827;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '09:00', 'close': '22:30'}];3;400k-800k
ChIJZ9umOjAvdTER5mBI80Ap9CY;Glamour world medical & SPA;10,7899472;106,6937731;42E Đường Võ Thị Sáu;;Tân Định;Hồ Chí Minh;spa;['beauty_salon', 'doctor', 'establishment', 'health', 'point_of_interest', 'spa'];;;Asia/Ho_Chi_Minh;[{'days': 'Sunday', 'open': '08:00', 'close': '23:30'}, {'days': 'Monday - Saturday', 'open': '08:00', 'close': '23:00'}];3;400k-800k
